Suburb,Address,Property_Type,Sold_Price,Sold_Date,Bedrooms,Bathrooms,Distance_to_CBD,Agency
Richmond, 89 Elizabeth Street,House,0.0351593591323836,2011-09-24,2,1,5.2,JellisCraig
Richmond,34 Canterbury Street,House,0.0242880640763676,2016-07-25,2,1,5.2,Stuat Evans
Richmond,95 Hoddle Street,House,0.0545420827566464,2012-07-25,2,1,5.2,JellisCraig
Richmond,41 Fraser Street,House,0.0693641655281415,1930-09-24,2,1,5.2,JellisCraig
Richmond,607/30 Burnley Strret,Apartment,0.0195153003932386,2015-07-25,1,1,5.2, Belle
Richmond,"1 Survey Street, Richmond",Apartment,0.0831521495016253,2018-07-25,3,1,5.2,BigginScott 
Richmond,18 Burkingham Street,Townhouse,0.0561064886305609,2011-07-25,3,3,5.2,BigginScott 
Richmond,2/50 Tanner Street ,Townhouse,0.070424779679948,2003-07-25,3,2,5.2,Belle
Richmond,7/6 Lord Street,Apartment,0.0336744993198546,2011-07-25,3,2,5.2,RayWhite
Richmond,2/7 Adam Street,Apartment,0.0257198931813063,2017-07-25,2,1,5.2,ThomasWong
Richmond,515/253 Bridge Road,Apartment,0.0232274499245611,2018-07-25,1,1,5.2,BigginScott 
Richmond,410/39 Appleton Street,Apartment,0.0327729772908191,2001-07-25,2,2,5.2,BigginScott 
Richmond,1/101 Hunter Street,Apartment,0.0269395994558837,2001-07-25,2,1,5.2,BigginScott 
Richmond,14/10 Bosito Street,Apartment,0.0184546862414321,2027-06-25,1,1,5.2,BARRYPLANT
Richmond,907/1 Dyer Streets,Apartment,0.0453677703435207,2026-06-25,2,2,5.2,MRE
Richmond,5/2 Elizabeth Street,Apartment,0.0296441655429901,2026-07-25,2,1,5.2,JellisCraig
Richmond,9/17 Stilman Street,Apartment,0.0293259812974482,2017-06-25,2,1,5.2,JellisCraig
Richmond,1/50 Palmer Street ,Apartment,0.0515988784853835,2013-06-25,2,2,5.2,Marshall White
Richmond,302/136 Burnley Street,Apartment,0.0229622963866095,2008-05-25,2,1,5.2,A/REAL
